"Algeria","Argentina","Australia","Austria","Bahamas","Bangladesh","Belarus","Belgium","Bolivia","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Canada","Chile","China","Colombia","Costa Rica","Cuba","Cyprus","Denmark","Ecuador","Egypt","Ethiopia","Finland","France","Ghana","Greece","Guyana","Hungary","Iceland","India","Indonesia","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kenya","Kuwait","Libya","Luxembourg","Malaysia","Mali","Malta","Mexico","Nepal","Netherlands","New Zealand","Nigeria","Norway","Pakistan","Panama","Paraguay","Peru","Philippines","Poland","Portugal","Russian Federation","Singapore","Spain","Sri Lanka","Sudan","Sweden","Syrian Arab Republic","Tanzania","Thailand","Togo","Trinidad and Tobago","UK","Ukraine","Uruguay","USA","Venezuela","Zambia"
"3200",3,2,1,1,1,2,NA,1,2,1,2,3,2,2,1,NA,NA,1,1,3,2,1,2,2,NA,1,1,2,1,2,NA,1,2,3,1,1,1,1,2,1,1,3,3,1,2,2,1,1,2,1,1,2,1,3,1,1,1,1,NA,1,NA,2,1,3,3,1,3,3,2,1,2,1,NA,NA,1,1,2
"3225",1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,2,NA,1,1,1,NA,2,1,2,1,1,3,1,1
"3237",1,1,3,2,2,1,1,3,1,1,1,1,1,1,3,2,1,2,3,1,1,3,1,1,1,2,3,1,1,1,1,3,1,1,3,3,3,2,2,1,NA,1,1,3,1,NA,2,1,1,3,3,1,3,1,2,1,1,1,1,3,1,1,2,1,1,2,1,1,1,2,1,3,1,2,3,1,1
"3243",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"3249",1,1,1,1,1,NA,1,2,1,1,1,2,1,1,1,NA,1,1,2,1,1,1,1,2,1,1,2,1,1,NA,1,1,1,1,1,3,2,2,2,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,NA,1,1,1,2,1,NA,1,2,1,1,1,1,NA,2,1,2,1,1,3,1,1
"3254",2,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,2,1,1,1,1,3,1,1,1,1
"3347",1,1,1,1,1,1,1,2,NA,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,2,3,2,1,3,1,2,1,1,2,1,1,NA,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1,NA,1,1,2,1,2,3,1,1
"3357",3,NA,1,1,1,3,NA,1,NA,1,2,3,NA,2,1,NA,NA,1,1,3,2,1,1,2,3,1,1,2,1,2,NA,1,2,3,1,1,1,1,1,1,2,3,3,1,3,2,1,1,2,1,1,2,1,3,1,1,1,1,NA,1,NA,NA,1,3,3,1,3,3,2,1,1,1,NA,NA,1,1,2
"3372",1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,NA,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,NA,1,1,2,3,2,NA,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,1,NA,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,2,1,NA,3,2,1
"3379",1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
"3391",2,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,3,2,1,1,1,1,NA,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,2,3,2,1,1,1,1,3,1,1,1,1
"3407",1,1,3,2,2,1,1,3,1,1,1,1,1,1,3,2,1,1,2,1,1,3,1,1,1,2,3,1,1,1,1,3,1,1,3,3,3,2,2,1,2,1,1,3,1,1,2,1,1,3,3,1,3,1,2,2,1,1,1,3,1,1,2,1,1,2,1,1,1,1,1,3,1,2,3,1,1
"3408",1,2,3,2,2,1,1,3,2,1,2,1,1,1,3,NA,1,2,2,1,1,3,2,2,2,3,3,1,1,1,2,3,1,1,3,3,3,2,3,1,3,1,1,3,1,1,2,1,2,3,3,1,3,1,2,2,2,2,1,3,1,2,2,1,1,3,1,1,2,2,2,3,1,2,3,2,1
"3414",1,1,1,1,1,NA,1,2,1,1,1,2,1,1,1,NA,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,NA,1,1,1,2,1,NA,1,2,2,1,1,1,NA,2,1,2,1,1,3,1,1
"3415",1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1
"3431",1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,1,2,3,2,1,2,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,3,1,1
